sampleID,Run,Lib_plate,Lib_plate_pos,Lib_condition,qPCR_Ct,qPCR_Quantity,Type,DNA_Plate_No,Micronix,RackID,Index_plate,Lib_pool
M13_HT14012013-04,M13,P07,E04,"1A5 & 2, 20 cycles",27.25,227.2,DNA,NA,NA,NA,NA,NA
M12_HT14012013-05,M12,P06,C10,"1A5 & 2, 20 cycles",26.51,343.8,DNA,NA,NA,NA,NA,NA
M14_HT14012013-05,M14,P10,D09,"1A5 & 2, 15 cycles",26.51,343.8,DNA,NA,NA,NA,NA,NA
M09_HT14022011-01,M09,P04,D09,"1A5 & 2, 15 cycles",21.54,5979.2,DBS,NA,NA,NA,NA,NA
M09_HT14022011-02,M09,P04,E07,"1A5 & 2, 15 cycles",23.27,2371.7536,DBS,NA,NA,NA,NA,NA
M09_HT14022011-03,M09,P04,F11,"1A5 & 2, 15 cycles",20.33,15599.1025,DBS,NA,NA,NA,NA,NA
M09_HT14022011-04,M09,P04,H10,"1A5 & 2, 15 cycles",20.78,14188.2287,DBS,NA,NA,NA,NA,NA
M09_HT14022011-06,M09,P04,H08,"1A5 & 2, 15 cycles",22.14,4891.9552,DBS,NA,NA,NA,NA,NA
M12_HT14022013-04,M12,P06,B09,"1A5 & 2, 20 cycles",26.98,195,DBS,NA,NA,NA,NA,NA
M10_HT14032013-03,M10,P03,H07,"1A5 & 2, 15 cycles",23.05,2458.4,DBS,NA,NA,NA,NA,NA
M10_HT14032013-13,M10,P03,E10,"1A5 & 2, 15 cycles",21.02,9101.5,DBS,NA,NA,NA,NA,NA
M12_HT14122012-11,M12,P06,F07,"1A5 & 2, 20 cycles",28.28,116.1823,DNA,NA,NA,NA,NA,NA
M14_HT14122012-11,M14,P10,E07,"1A5 & 2, 15 cycles",28.28,116.1823,DNA,NA,NA,NA,NA,NA
M09_HT15012011-01,M09,P04,C10,"1A5 & 2, 15 cycles",20.92,8779.9,DBS,NA,NA,NA,NA,NA
M14_HT15012011-01,M14,P10,B04,"1A5 & 2, 15 cycles",20.92,8779.9,DBS,NA,NA,NA,NA,NA
M10_HT15022013-03,M10,P03,F09,"1A5 & 2, 15 cycles",22,6138.5255,DBS,NA,NA,NA,NA,NA
M04_HT15032011-09,M04,NA,NA,"1AB & 2, 11 cycles",22.84,2671.8,DBS,NA,NA,NA,NA,NA
M09_HT15032011-10,M09,P04,B07,"1A5 & 2, 15 cycles",24.05,1340.3704,DBS,NA,NA,NA,NA,NA
M12_HT15032013-02,M12,P06,F12,"1A5 & 2, 20 cycles",24.85,867.0689,DBS,NA,NA,NA,NA,NA
M11_HT15052010-03,M11,P05,D07,"1A5 & 2, 15 cycles",24.08,1314.6679,DBS,NA,NA,NA,NA,NA
M11_HT15092010-01,M11,P05,F07,"1A5 & 2, 15 cycles",23.56,1605.861667,DNA,NA,NA,NA,NA,NA
M13_HT15122012-02,M13,P07,G11,"1A5 & 2, 20 cycles",29.19,68.1691,DNA,NA,NA,NA,NA,NA
M15_HT15122012-02,M15,P11,F04,"1A5 & 2, 20 cycles",29.19,68.1691,DNA,NA,NA,NA,NA,NA
M10_HT16022012-04,M10,P03,A12,"1A5 & 2, 15 cycles",19.41,36352.1156,DBS,NA,NA,NA,NA,NA
M11_HT16032010-05,M11,P05,A10,"1A5 & 2, 15 cycles",21.06,8050.3,DBS,NA,NA,NA,NA,NA
M11_HT16032010-08,M11,P05,A12,"1A5 & 2, 15 cycles",19.74,28980.6038,DBS,NA,NA,NA,NA,NA
M10_HT16032013-04,M10,P03,F12,"1A5 & 2, 15 cycles",18.3,54816.0099,DBS,NA,NA,NA,NA,NA
M11_HT16042010-02,M11,P05,F12,"1A5 & 2, 15 cycles",18.23,49393.62339,DBS,NA,NA,NA,NA,NA
M14_HT16042011-06,M14,P10,F06,"1A5 & 2, 15 cycles",21.6,5973.6274,DBS,NA,NA,NA,NA,NA
M10_HT16042012-06,M10,P04,H05,"1A5 & 2, 15 cycles",18.3,54816.0099,DBS,NA,NA,NA,NA,NA
M15_HT16072012-11,M15,P11,H06,"1A5 & 2, 20 cycles",30.28,64.8904,DNA,NA,NA,NA,NA,NA
M13_HT16072012-12,M13,P07,D09,"1A5 & 2, 20 cycles",31.29,36.173,DNA,NA,NA,NA,NA,NA
M13_HT16072012-13,M13,P07,E07,"1A5 & 2, 20 cycles",32.93,13.9943,DNA,NA,NA,NA,NA,NA
M10_HT17012012-03,M10,P04,B03,"1A5 & 2, 15 cycles",21.54,5979.2,DBS,NA,NA,NA,NA,NA
M09_HT17022011-01,M09,P04,G07,"1A5 & 2, 15 cycles",22.9,2574.3,DBS,NA,NA,NA,NA,NA
M10_HT17022013-06,M10,P03,G07,"1A5 & 2, 15 cycles",23.14,2319.8,DBS,NA,NA,NA,NA,NA
M04_HT17032010-01,M04,NA,NA,"1AB & 2, 11 cycles",17.82,59940,DBS,NA,NA,NA,NA,NA
M10_HT17032013-02,M10,P03,F11,"1A5 & 2, 15 cycles",20.29,19864.1656,DBS,NA,NA,NA,NA,NA
M11_HT17042010-01,M11,P05,E08,"1A5 & 2, 15 cycles",23.07,2695.9874,DBS,NA,NA,NA,NA,NA
M10_HT17042012-03,M10,P04,G03,"1A5 & 2, 15 cycles",20.46,13598.0098,DBS,NA,NA,NA,NA,NA
M13_HT17052010-14,M13,P07,D10,"1A5 & 2, 20 cycles",29.31,45.44772164,DNA,NA,NA,NA,NA,NA
M15_HT17052010-14,M15,P11,A03,"1A5 & 2, 20 cycles",29.31,45.44772164,DNA,NA,NA,NA,NA,NA
M14_HT17052012-08,M14,P10,E02,"1A5 & 2, 15 cycles",19.38,22177.22,DBS,NA,NA,NA,NA,NA
M12_HT17072012-07,M12,P06,H11,"1A5 & 2, 20 cycles",26.25,671.7125,DNA,NA,NA,NA,NA,NA
M15_HT17092012-01,M15,P11,B06,"1A5 & 2, 20 cycles",31.17,38.8804,DNA,NA,NA,NA,NA,NA
M10_HT18012012-02,M10,P04,G01,"1A5 & 2, 15 cycles",23.01,2404.7,DBS,NA,NA,NA,NA,NA
